#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 140  64
# Band-Index    1
   2.34826    -14.683026    -14.707849
   2.38014    -14.683239    -14.708056
   2.41201    -14.683899    -14.708681
   2.44389    -14.684988    -14.709708
   2.47576    -14.686485    -14.711119
   2.50764    -14.688350    -14.712880
   2.53951    -14.690541    -14.714950
   2.57139    -14.693001    -14.717282
   2.60326    -14.695673    -14.719848
   2.63513    -14.698512    -14.723071
   2.66701    -14.701990    -14.727253
   2.69888    -14.706626    -14.732079
   2.73076    -14.711909    -14.737507
   2.76263    -14.717764    -14.743502
   2.79451    -14.724124    -14.750001
   2.82638    -14.730901    -14.756902
   2.85826    -14.737913    -14.764007
   2.89013    -14.744803    -14.770920
   2.92201    -14.750658    -14.776685
   2.95388    -14.753260    -14.779181
   2.95388    -14.753298    -14.779214
   2.98575    -14.750701    -14.776722
   3.01763    -14.744851    -14.770964
   3.04950    -14.737965    -14.764055
   3.08137    -14.730957    -14.756955
   3.11324    -14.724183    -14.750056
   3.14512    -14.717823    -14.743559
   3.17699    -14.711968    -14.737564
   3.20886    -14.706681    -14.732136
   3.24074    -14.702018    -14.727307
   3.27261    -14.698426    -14.723105
   3.30448    -14.695587    -14.719770
   3.33635    -14.692919    -14.717201
   3.36823    -14.690462    -14.714873
   3.40010    -14.688274    -14.712807
   3.43197    -14.686410    -14.711048
   3.46385    -14.684915    -14.709639
   3.49572    -14.683826    -14.708617
   3.52759    -14.683168    -14.708013
   3.55947    -14.683026    -14.707849
   3.55947    -14.683026    -14.707849
   3.61325    -14.683629    -14.708443
   3.66703    -14.685535    -14.710239
   3.72081    -14.688579    -14.713113
   3.77459    -14.692564    -14.716886
   3.82837    -14.697273    -14.721387
   3.88215    -14.702465    -14.727667
   3.93593    -14.709306    -14.735030
   3.98971    -14.717154    -14.743205
   4.04349    -14.725527    -14.751936
   4.09727    -14.734162    -14.760946
   4.15105    -14.742800    -14.769961
   4.20483    -14.751168    -14.778694
   4.25861    -14.750820    -14.778530
   4.31239    -14.747764    -14.774623
   4.36617    -14.748217    -14.774337
   4.41995    -14.749289    -14.775142
   4.47373    -14.750091    -14.775938
   4.52751    -14.750485    -14.776419
   4.58129    -14.750584    -14.776567
 
# Band-Index    6
   4.58129    -14.716299    -14.739351
   4.52751    -14.716512    -14.739648
